"category","gender","age","range"
"LOW","F","18-39","0-24.3"
"LOW","F","40-59","0-24.1"
"LOW","F","60-79","0-23.9"
"LOW","M","18-39","0-33.3"
"LOW","M","40-59","0-33.1"
"LOW","M","60-79","0-32.9"
"NORMAL","F","18-39","24.3-30.3"
"NORMAL","F","40-59","24.1-30.1"
"NORMAL","F","60-79","23.9-29.9"
"NORMAL","M","18-39","33.3-39.3"
"NORMAL","M","40-59","33.1-39.1"
"NORMAL","M","60-79","32.9-38.9"
"HIGH","F","18-39","30.4-35.3"
"HIGH","F","40-59","30.2-35.1"
"HIGH","F","60-79","30.0-34.9"
"HIGH","M","18-39","39.4-44.0"
"HIGH","M","40-59","39.2-43.8"
"HIGH","M","60-79","39.0-43.6"
"VERYHIGH","F","18-39","30.4-35.4"
"VERYHIGH","F","40-59","30.2-35.2"
"VERYHIGH","F","60-79","30.0-35.0"
"VERYHIGH","M","18-39","39.4-44.1"
"VERYHIGH","M","40-59","39.2-43.9"
"VERYHIGH","M","60-79","39.0-43.7"
